Session_Connection_Time,Bytes Transferred,Kali_Trace_Used,Servers_Corrupted,Pages_Corrupted,Location,WPM_Typing_Speed
8,391.09,1,2.96,7,Slovenia,72.37
20,720.99,0,3.04,9,British Virgin Islands,69.08
31,356.32,1,3.71,8,Tokelau,70.58
2,228.08,1,2.48,8,Bolivia,70.8
20,408.5,0,3.57,8,Iraq,71.28
1,390.69,1,2.79,9,Marshall Islands,71.57
18,342.97,1,5.1,7,Georgia,72.32
22,101.61,1,3.03,7,Timor-Leste,72.03
15,275.53,1,3.53,8,Palestinian Territory,70.17
12,424.83,1,2.53,8,Bangladesh,69.99
15,249.09,1,3.39,9,Northern Mariana Islands,70.77
32,242.48,0,4.24,8,Zimbabwe,67.93
23,514.54,0,3.18,8,Isle of Man,68.56
9,284.77,0,3.12,9,Sao Tome and Principe,70.82
27,779.25,1,2.37,8,Greece,72.73
12,307.31,1,3.22,7,Solomon Islands,67.95
21,355.94,1,2,7,Guinea-Bissau,72
10,372.65,0,3.33,7,Burkina Faso,69.19
20,347.23,1,2.33,7,Mongolia,70.41
22,456.57,0,1.52,8,Nigeria,69.35
25,582.03,0,3.29,7,Kazakhstan,69.85
19,67.17,0,3.25,7,Faroe Islands,69.73
16,410.08,1,3.07,8,Lebanon,68.49
18,393.15,0,2.25,8,Guyana,70.87
34,11.04,0,2.31,8,Botswana,72
30,309.84,0,3.8,9,Zambia,70.98
20,415.39,1,3.47,7,Mexico,69.98
23,537.94,1,2.96,7,Mongolia,68.74
21,206.31,0,2.75,8,Gibraltar,68.82
20,192.85,1,2.21,8,Bhutan,73.1
28,311.81,0,2.05,8,Mayotte,69.29
19,429.56,1,2.95,8,Guernsey,68.94
19,472.38,0,1.54,8,Saint Barthelemy,70.82
26,607.31,0,1.55,7,Cambodia,72.2
18,566.97,1,2.82,7,Tuvalu,71.37
33,364.88,0,3.52,7,Philippines,74.24
21,169.89,0,4.78,9,Armenia,67.93
20,287.06,1,1.71,8,Nicaragua,71.75
29,225.58,0,3.4,8,Mauritania,71.25
16,522.88,1,3.71,8,Algeria,72.74
21,337.15,1,3.9,8,Azerbaijan,71.47
15,275.09,0,2.5,9,Algeria,72.95
20,60.16,0,3.81,8,Sri Lanka,69.97
23,358.54,1,2.25,8,Nauru,73.1
8,231.64,0,2.97,8,Palestinian Territory,67.08
22,274.24,1,2.1,8,Heard Island and McDonald Islands,68.81
29,372.86,0,1.77,8,Mauritania,70.63
20,710.55,0,3.71,8,Christmas Island,70.37
16,89.49,1,1.8,8,Holy See (Vatican City State),74.92
11,447.05,0,2.67,7,Haiti,69.95
15,628.38,1,2.9,8,Japan,71.81
9,430.16,0,3.41,9,Syrian Arab Republic,72.26
2,343.1,1,2.74,8,Albania,70.64
13,416.9,1,2.76,8,United States Virgin Islands,71.63
9,549.52,1,5.11,9,Guernsey,70.4
25,369,0,3.05,7,Israel,70.68
22,184.63,0,3.45,8,Czech Republic,68.27
7,10,1,3.71,8,Sri Lanka,70.09
21,270.53,0,4.2,8,Bhutan,70.28
18,385.3,0,3.3,9,Malaysia,68.36
4,295.79,0,2.75,8,Maldives,73.15
15,322.91,0,2.72,7,Norway,69.02
16,316.42,0,3.39,9,South Africa,70.89
12,538.03,1,3.03,8,Afghanistan,71.55
13,252.2,1,3.54,8,Australia,67.69
9,281.56,1,2.04,9,Saint Kitts and Nevis,71.7
14,110.81,0,3.1,8,Jamaica,70.93
26,361.16,0,3.62,8,Tajikistan,69.49
28,179.55,1,2.4,8,Azerbaijan,70.57
17,499.16,1,3.75,6,Moldova,69.75
10,273.77,1,2.64,7,Lebanon,71.15
21,52.79,0,2.13,7,Equatorial Guinea,69.21
19,354.24,0,3.4,6,Turkey,70.26
18,635.81,0,3.43,7,Slovenia,74.01
12,428.8,1,2.22,7,Congo,72.65
30,366.5,1,2.81,8,Brunei Darussalam,71.25
8,365.62,0,1.56,7,South Georgia and the South Sandwich Islands,69.22
18,373.36,0,3.92,7,Holy See (Vatican City State),72.95
24,534.74,1,3.25,8,Iran,72.19
8,64.83,0,3.58,8,Saudi Arabia,70.21
26,354.77,0,3.26,8,Netherlands Antilles,71.43
11,508.87,1,2.56,8,Botswana,71.15
14,331.49,1,2.35,9,Zambia,70.23
22,404.57,0,1.82,8,Bouvet Island (Bouvetoya),69.74
13,518.68,1,2.87,7,Netherlands,72.01
22,494.63,1,2.4,8,Belarus,71.02
19,104.67,1,1.34,9,Cyprus,70.44
22,106.26,1,2.81,8,Netherlands Antilles,69.51
13,91.86,1,5.07,8,Yemen,69.43
14,257.35,0,2.17,7,Uzbekistan,68.71
4,459.64,0,3.09,7,Ecuador,69.27
20,651.24,0,1.13,8,Saint Barthelemy,68.84
30,23.3,0,3.54,7,Sao Tome and Principe,68.75
14,499.13,0,4.6,8,Haiti,72.04
18,39.13,0,2,9,Romania,71.28
34,320.47,0,3.76,8,Montenegro,70.67
4,458.36,0,1.25,8,Czech Republic,70.8
22,613.04,1,3.77,8,Niue,71.02
21,445.02,1,3.9,8,Saint Pierre and Miquelon,72.83
17,623.48,1,3.37,8,Mayotte,71.96
19,253.39,0,2.66,8,Saint Vincent and the Grenadines,75
27,664.85,1,3.74,7,Kyrgyz Republic,70.24
13,84.83,0,2.13,9,South Africa,71.89
14,526.84,1,4.14,8,Japan,72.18
22,468.35,1,4.11,7,New Zealand,70.28
20,271.97,1,3.38,8,United States Virgin Islands,73.17
13,449.15,1,3.33,7,Central African Republic,69.41
10,256.61,0,4.26,7,Belize,70.09
17,504.41,1,3.23,9,Seychelles,72.23
17,408.08,0,4.52,8,Sri Lanka,69.52
30,251.69,0,3.87,7,United States Minor Outlying Islands,68.24
18,345.83,0,5.32,8,Dominican Republic,72.16
12,345.41,1,3.53,9,Portugal,69.84
26,339.11,0,2.1,7,Trinidad and Tobago,72.09
8,857.01,0,1,7,Western Sahara,69.53
15,510.61,1,1.61,8,Grenada,70.63
11,449.09,0,4.22,7,Saint Lucia,69.09
28,336.36,1,3.06,8,Faroe Islands,69.13
14,640.86,0,4.1,8,Ethiopia,70.01
20,429.64,0,2.47,8,Sweden,71.75
22,348.41,0,2.3,9,Uruguay,68.37
8,752.49,0,4.11,9,Tokelau,70.41
12,517.46,1,3.24,7,Tanzania,74.17
25,456.28,1,4.07,8,Serbia,71.51
18,200.83,0,4.66,8,Ukraine,70.56
13,379.95,1,1.44,8,Turks and Caicos Islands,69.61
18,512.83,1,3.31,9,Slovakia (Slovak Republic),71
32,340.49,1,3.82,8,Switzerland,70.86
18,118.03,1,3.21,7,Australia,73.79
15,447.83,0,2.6,8,United States Virgin Islands,71.24
8,372.05,0,3.13,8,Antigua and Barbuda,69.18
6,370.45,1,2.72,8,Philippines,68.33
7,178.56,0,4.18,8,Sweden,72.42
14,366.49,0,2.56,9,China,70.16
10,401.85,0,3.93,8,New Caledonia,68.73
13,485.85,0,5.25,8,Luxembourg,69.13
19,868.5,1,3.7,8,Malawi,73.46
6,567.16,1,5.05,8,Hungary,69.04
18,419.12,0,4.11,8,Palestinian Territory,70.98
20,288.32,1,2.71,8,Greece,70.31
15,422.47,1,3.01,8,Benin,71.3
15,548.83,1,3.78,7,Bahamas,68.53
24,334.41,0,4.27,7,Ethiopia,69.94
16,300.7,0,2.94,8,Kyrgyz Republic,69.47
17,334.8,1,2.51,8,Netherlands,73.38
5,378.46,1,5.17,8,Samoa,72.32
15,392.11,0,4.54,8,Kuwait,67.32
31,600.84,1,4.52,8,Austria,70.63
27,474.87,0,2.12,7,Saint Barthelemy,69.44
19,724.8,0,2.82,8,Turkmenistan,71.72
27,171.73,1,2.07,8,Bouvet Island (Bouvetoya),70.97
